伊野 0 1 2
伊野駅前 0 1 2
鳴谷 0 1 2
北山 0 1 2
北内 0 1 2
伊野商業前 0 1 2
枝川 0 1 2
中山 0 1 2
八代通 0 2 2
宇治団地前 0 2 3
咥内 0 2 3
宮の奥 0 2 3
朝倉神社前 0 2 3
朝倉駅前 0 3 3
朝倉 0 3 4
曙町 0 3 4
曙町東町 1 4 4
鴨部 1 4 4
鏡川橋 1 4 4
蛍橋 1 4 4
旭町三丁目 1 4 4
旭駅前通 1 4 4
旭町一丁目 2 4 4
上町五丁目 2 4 4
上町四丁目 2 4 4
上町二丁目 2 4 4
上町一丁目 2 4 4
枡形 2 4 4
グランド通 2 4 4
県庁前 2 4 4
高知城前 2 4 4
大橋通 2 4 4
堀詰 2 4 4
はりまや橋 2 4 4
高知駅前 2 4 4
高知橋 2 4 4
蓮池町通 2 4 4
梅の辻 2 4 4
桟橋通一丁目 2 4 4
桟橋通二丁目 2 4 4
桟橋通三丁目 2 4 4
桟橋通四丁目 2 4 4
桟橋車庫前 2 4 4
桟橋通五丁目 2 4 4
デンテツターミナルビル前 2 4 4
菜園場町 2 4 4
宝永町 2 4 4
知寄町一丁目 2 4 4
知寄町二丁目 2 4 4
知寄町 2 4 4
知寄町三丁目 1 5 5
葛島橋東詰 1 5 5
西高須 1 5 5
県立美術館通 1 5 5
高須 1 5 5
文珠通 1 5 5
介良通 1 5 5
新木 0 5 6
東新木 0 5 6
田辺島通 0 5 6
鹿児 0 6 6
舟戸 0 6 6
北浦 0 6 7
領石通 0 6 7
清和学園前 0 6 7
一条橋 0 6 7
明見橋 0 6 7
長崎 0 7 7
小篭通 0 7 8
篠原 0 7 8
住吉通 0 7 8
東工業前 0 7 8
後免西町 0 7 8
後免中町 0 7 8
後免東町 0 7 8
後免町 0 8 8
